id,property_id,property_name,city,province,area,state,address,room_count,room_type, tad_review_rating
"1116","726040","Hotel Edesia","Lucknow","Lucknow","'Gomti Nagar'","UttarPradesh","Hotel Edesia ( Temptation Hospitality Private Limited ) B-1/55F Vineet Khand Gomti Nagar Lucknow.","11","Executive Room","2.5"
"1117","735162","Hotel Buddha Residency","Lucknow","Lucknow","'Vidhan Sabha Marg'","UttarPradesh","21 Vidhan Sabha Marg","24","Deluxe Room","3"
"1118","45176","Swagath Holiday Resort","Kovalam","Kovalam","'Light House Beach'","Kerala","Near Upasana Hospital","25","Pawn","3.5"
"1119","1358596","STARiHOTELS Varsoli Lonavala","Lonavala","Lonavala",,"Maharashtra","Near Wax Museum, Opp Mumbai - Pune Highway, Toll Plaza, Varsoli","0",,"0"
"1120","41075","Cloud 9","Kothamangalam","Kothamangalam","'Kochi Munnar Road'","Kerala","Kochin - Munnar Road, Kothamangalam","25","Deluxe Room","3"
"1121","725115","Himalaya Guest House","Kolkata","Kolkata","'Salt Lake Sector 5'","WestBengal","MB-698, Mahisbathan, Near Technopolis, Beside New Town Bridge, Saltlake,","12","Deluxe Double Room","3"
"1122","1360328","The Revanta","Lucknow","Lucknow","'Sitapur Road'","UttarPradesh","181/1, Opposite New CDRI Campus, Sitapur Road","50","Deluxe A/C","4.7"
"1123","718459","Swapnatheeram Beach Resort","Kovalam","Kovalam","'Light House Beach'","Kerala","Nisha Nivas Avaduthura","13","Deluxe AC Room","4"
"1124","738216","Jivanta Service Apartment","Kolkata","Kolkata","'Airport Zone'","WestBengal","CE/1/B/79, New Town, Rajarhat,","4","Standard","2.7"
"1125","355081","The Maple Leaf","Lucknow","Lucknow","'Hazratganj'","UttarPradesh","2-China Bazar Road Opposite Family Court, Hazratganj","42","Premium Room","3"
"1126","1332058","OYO Rooms Near Ludhiana Railway Station","Ludhiana","Ludhiana","'Chaura Bazaar'","Punjab","74 Kamla Nehru Market, Clock Tower Road, Ludhiana","15","Standard Room","2.9"
"1127","160104","Hyson Heritage","Kozhikode","Kozhikode","'Near Calicut Railway Station'","Kerala","P.B. No.114, Bank Road","82","Deluxe Room","3.5"
"1128","715420","Lotus Nikko Hotel Kushinagar","Kushinagar","Kushinagar","'Buddha Marg'","UttarPradesh","Buddha Marg, Kushi Nagar,","65","Deluxe Room","3"
"1129","1326308","OYO Premium Opposite Ansal Plaza Mall","Ludhiana","Ludhiana","'Near Ferozpur Road'","Punjab","2059, Yes Bank X-ing, Onn Lane Ludhiana","15","Standard Room","4.6"
"1130","721383","Saubhagyam Residency","Lucknow","Lucknow","'Gomti Nagar'","UttarPradesh","5/34, vishal Khand, Captain manoj Pandey Crossing, Gomtinagar, Lucknow","18","Family Room","4"
"1131","744200","Hotel Raya's Annexe","Kumbakonam","Kumbakonam","'Near Bus Terminus'","TamilNadu","19,Head post office road Near Holy Mahamaham Tank West Bank","27","Standard Room AC","4"
"1132","712234","Hotel Deyzor","Lahaul and Spiti","Lahaul and Spiti","'Kaza'","HimachalPradesh","Near BSNL Office, V.P.O, New KAZA, Tehsil - Spiti","10","Standard Room","5"
"1133","707356","Hotel Maharani","Kozhikode","Kozhikode","'Thaluk Road'","Kerala","Taluk Raod","0","Maharani AC Double Deluxe","0"
"1134","744182","Hotel Raya's","Kumbakonam","Kumbakonam","'Near Bus Terminus'","TamilNadu","18,Head post office road Near Holy Mahamaham Tank West Bank","38","Standard Room Non AC","4"
"1135","958920","Hotel Floret Lachung","Lachung","Lachung","'Lachung'","Sikkim","Lachung","16","Deluxe Room","2.1"
"1136","868320","Metro Tower","Kozhikode","Kozhikode","'Near Calicut Railway Station'","Kerala","Opp.Jayalakshmi Silks,Kallai Road,Chalappuram P.O, Calicut","47","Standard","2.5"
"1137","710931","Blue Heaven","Lava","Lava","'Lava Motor Stand'","WestBengal","LAVA MOTOR STAND","5","Deluxe Double Beded","4.4"
"1138","380296","Renai Kappad Beach Resort","Kozhikode","Kozhikode","'Kappad Beach'","Kerala","Chemanchery P.O, Thuvappara, Kappad","16","Sea Facing Room","4"
"1139","740368","Hotel Kasi International","Kumbakonam","Kumbakonam","'Near Bus Terminus'","TamilNadu","Town High School Road, Near Kasi Theatre","0","Super Deluxe Non AC Room","0"
"1140","377115","Hotel Uday Regency","Kota","Kota","'Talwandi - Rangbari Road'","Rajasthan","Rangbari Road,Talwandi","32","Super Deluxe","3.5"
"1141","319558","Govinda Resort","Lonavala","Lonavala","'Waksai'","Maharashtra","Mumbai - Pune Road, Waksai","20","A/C Deluxe Room","3.5"
"1142","1325394","OYO Rooms Airport Gate No 2 Bus Stop","Kolkata","Kolkata","'Airport Zone'","WestBengal","62, Jessore Road, Gate No.2, airport Old Gurudwara PO- Rajbari,","15","Standard Room AC","2.3"
"1143","715623","Goldrop Camps Sissu","Lahaul and Spiti","Lahaul and Spiti","'Sissu'","HimachalPradesh","Lahoul Spiti, Opp. Nehru Park","30","Royal Tent","4"
