id,property_id,rating_count,city
"3713","722602","10","Kochi"
"3714","722605","11","Ludhiana"
"3715","722607","1","Jaipur"
"3716","722611","8","Kota"
"3717","722619","7","Kausani"
"3718","722620","53","Darjeeling"
"3719","722645","27","Jaipur"
"3720","722658","65","Dharamshala"
"3721","722697","51","Kochi"
"3722","722702","21","Jaipur"
"3723","722704","28","Jaipur"
"3724","722705","11","Jaipur"
"3725","722717","26","Jaipur"
"3726","722740","15","Dhanaulti"
"3727","722779","6","Kochi"
"3728","722798","13","Kochi"
"3729","722801","211","Kochi"
"3730","722803","186","Kochi"
"3731","722808","82","Kochi"
"3732","722809","123","Kochi"
"3733","722811","4","Lonavala"
"3734","722813","2","Kochi"
"3735","722817","23","Kochi"
"3736","722820","154","Kochi"
"3737","722821","29","Kullu"
"3738","722822","1","Hampi"
"3739","722824","21","Kochi"
"3740","722825","4","Kochi"
"3741","722826","24","Chennai"
"3742","722827","31","Dhanbad"
"3743","722829","17","Kochi"
"3744","722830","4","Kolkata"
"3745","722837","2","Kochi"
"3746","722846","234","Kochi"
"3747","722848","30","Kochi"
"3748","722860","52","Lonavala"
"3749","722862","26","Lonavala"
"3750","722864","13","Lonavala"
"3751","722867","52","Lonavala"
"3752","722869","6","Kochi"
"3753","722878","51","Kishangarh"
"3754","722881","14","Khandala"
"3755","722891","149","Kollam"
"3756","722902","4","Kolkata"
"3757","722921","7","Kollam"
"3758","722925","23","Goa"
"3759","722928","31","Jaipur"
"3760","722932","29","Jabalpur"
"3761","722934","8","Kolkata"
"3762","722942","88","Coorg"
"3763","722948","11","Jaipur"
"3764","722978","1","Jaipur"
"3765","723002","1","Jaipur"
"3766","723003","2","Katra"
"3767","723006","19","Jaipur"
"3768","723008","26","Kollam"
"3769","723011","5","Kollam"
"3770","723105","21","Jaisalmer"
"3771","723107","31","Jaipur"
"3772","723108","1","Jaipur"
"3773","723110","22","Jaipur"
"3774","723190","7","Durgapur"
"3775","723202","6","Kollam"
"3776","723218","25","Indore"
"3777","723257","150","Goa"
"3778","723317","44","Lucknow"
"3779","723342","26","Jaisalmer"
"3780","723348","54","Itanagar"
"3781","723350","25","Durgapur"
"3782","723498","17","Goa"
"3783","723512","54","Lonavala"
"3784","723517","113","Kukke Subramanya"
"3785","723591","154","Dandeli"
"3786","723594","808","Coorg"
"3787","723617","4","Durgapur"
"3788","723681","17","Kukke Subramanya"
"3789","723721","1","Jaipur"
"3790","723725","23","Kochi"
"3791","723743","11","Kodaikanal"
"3792","723744","46","Jaipur"
"3793","723757","21","Jaipur"
"3794","723759","6","Jaipur"
"3795","723779","5","Leh"
"3796","723847","22","Jaipur"
"3797","723852","12","Gangtok"
"3798","723857","1","Jaipur"
"3799","723859","15","Lucknow"
"3800","723862","39","Kolkata"
"3801","723887","27","Kota"
"3802","723900","36","Durg"
"3803","723942","7","Chandigarh"
"3804","723948","1","Jaipur"
"3805","723954","12","Jaisalmer"
"3806","723957","21","Kishangarh"
"3807","723964","115","Gangtok"
"3808","724000","14","Dehradun"
"3809","724057","28","Chennai"
"3810","724066","70","Dindigul"
"3811","724067","49","Gangtok"
"3812","724140","13","Hyderabad"
"3813","724153","21","Gangtok"
"3814","724157","113","Dharamshala"
"3815","724204","2","Kochi"
"3816","724218","73","Dindigul"
"3817","724224","45","Dehradun"
"3818","724239","5","Dehradun"
"3819","724257","35","Dehradun"
"3820","724263","2","Kodaikanal"
"3821","724264","188","Kolkata"
"3822","724267","2","Kullu"
"3823","724270","19","Kodaikanal"
"3824","724279","24","Corbett"
"3825","724281","5","Kodaikanal"
